date,group,match_no,home_team,away_team,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,actual_outcome,outcome_correct,exact_score_correct,outcome_probability,home_xg,away_xg,elo_diff,score_model,score_model_detail,within_one_goal_correct,home_goal_error,away_goal_error,scoreline_absolute_error,elo_poisson_predicted_home_score,elo_poisson_predicted_away_score,elo_poisson_predicted_outcome,elo_poisson_model_detail,training_cutoff,training_data_through,training_scope
2026-06-17 17:00:00,Group K,61,Portugal,DR Congo,1.0,1.0,3,1,home_win,draw,False,False,0.8780487804878048,1.936,0.977,222.32,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,0.0,2.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-17,2026-06-16,before_match_date
2026-06-17 20:00:00,Group L,67,England,Croatia,4.0,2.0,1,1,draw,home_win,False,False,0.8620689655172413,1.532,1.234,70.14,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,3.0,1.0,4.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-17,2026-06-16,before_match_date
2026-06-17 23:00:00,Group L,68,Ghana,Panama,1.0,0.0,0,1,away_win,home_win,False,False,0.7999999999999999,1.301,1.453,-36.05,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,1.0,2.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-17,2026-06-16,before_match_date
2026-06-18 02:00:00,Group K,62,Uzbekistan,Colombia,1.0,3.0,1,1,draw,away_win,False,False,0.8620689655172413,1.146,1.65,-118.62,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,0.0,2.0,2.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-17,2026-06-16,before_match_date
2026-06-18 16:00:00,Group A,3,Czech Republic,South Africa,1.0,1.0,0,1,away_win,draw,False,False,0.8999999999999999,1.428,1.324,24.51,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-18,2026-06-17,before_match_date
2026-06-18 19:00:00,Group B,9,Switzerland,Bosnia and Herzegovina,4.0,1.0,1,1,draw,home_win,False,False,0.8235294117647061,1.669,1.133,126.1,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,3.0,0.0,3.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-18,2026-06-17,before_match_date
2026-06-18 22:00:00,Group B,10,Canada,Qatar,6.0,0.0,1,1,draw,home_win,False,False,0.8235294117647061,1.546,1.223,76.04,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,5.0,1.0,6.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-18,2026-06-17,before_match_date
2026-06-19 01:00:00,Group A,4,Mexico,South Korea,1.0,0.0,1,1,draw,home_win,False,False,0.8235294117647061,1.469,1.287,43.05,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,0.0,1.0,1.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-18,2026-06-17,before_match_date
2026-06-19 19:00:00,Group D,21,United States,Australia,2.0,0.0,1,1,draw,home_win,False,False,1.0,1.386,1.364,5.29,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,1.0,2.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-19,2026-06-18,before_match_date
2026-06-19 22:00:00,Group C,15,Scotland,Morocco,0.0,1.0,1,1,draw,away_win,False,False,1.0,1.116,1.693,-135.4,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-19,2026-06-18,before_match_date
2026-06-20 00:30:00,Group C,16,Brazil,Haiti,3.0,0.0,2,0,home_win,home_win,True,False,0.6666666666666666,2.19,0.863,302.56,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,2,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-19,2026-06-18,before_match_date
2026-06-20 03:00:00,Group D,22,Turkey,Paraguay,0.0,1.0,1,1,draw,away_win,False,False,1.0,1.474,1.283,45.2,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-19,2026-06-18,before_match_date
2026-06-20 17:00:00,Group F,33,Netherlands,Sweden,5.0,1.0,1,0,home_win,home_win,True,False,0.6666666666666666,1.574,1.201,87.92,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,4.0,1.0,5.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-20,2026-06-19,before_match_date
2026-06-20 20:00:00,Group E,27,Germany,Ivory Coast,2.0,1.0,1,0,home_win,home_win,True,False,0.6666666666666666,1.554,1.217,79.48,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,1.0,2.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-20,2026-06-19,before_match_date
2026-06-21 00:00:00,Group E,28,Ecuador,Curaçao,0.0,0.0,3,1,home_win,draw,False,False,0.6666666666666666,1.806,1.047,177.12,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,3.0,1.0,4.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-20,2026-06-19,before_match_date
2026-06-21 04:00:00,Group F,34,Tunisia,Japan,0.0,4.0,0,1,away_win,away_win,True,False,0.9090909090909091,1.035,1.826,-184.37,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,0.0,3.0,3.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-20,2026-06-19,before_match_date
2026-06-21 16:00:00,Group H,45,Spain,Saudi Arabia,4.0,0.0,2,0,home_win,home_win,True,False,0.6875,1.924,0.983,218.24,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,0.0,2.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-21,2026-06-20,before_match_date
2026-06-21 19:00:00,Group G,39,Belgium,Iran,0.0,0.0,1,1,draw,draw,True,False,1.0,1.399,1.351,11.23,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,1.0,2.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-21,2026-06-20,before_match_date
2026-06-21 22:00:00,Group H,46,Uruguay,Cape Verde,2.0,2.0,2,0,home_win,draw,False,False,0.6875,1.693,1.117,135.26,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,0.0,2.0,2.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-21,2026-06-20,before_match_date
