match_key,tournament,competition,year,round,stage_type,date,team,player,player_url,goal_text
FIFA World Cup 2010-group_B-5,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-22,South Korea,Lee Jung-soo,https://en.wikipedia.org/wiki/Lee_Jung-soo,Lee Jung-soo 38'
FIFA World Cup 2010-group_B-5,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-22,South Korea,Park Chu-young,https://en.wikipedia.org/wiki/Park_Chu-young,Park Chu-young 49'
FIFA World Cup 2010-group_B-6,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-22,Argentina,Martín Demichelis,https://en.wikipedia.org/wiki/Mart%C3%ADn_Demichelis,Demichelis 77'
FIFA World Cup 2010-group_B-6,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-22,Argentina,Martín Palermo,https://en.wikipedia.org/wiki/Mart%C3%ADn_Palermo,Palermo 89'
FIFA World Cup 2010-group_C-1,FIFA World Cup 2010,FIFA World Cup,2010,Group C,group,2010-06-12,England,Steven Gerrard,https://en.wikipedia.org/wiki/Steven_Gerrard,Gerrard 4'
FIFA World Cup 2010-group_C-1,FIFA World Cup 2010,FIFA World Cup,2010,Group C,group,2010-06-12,United States,Clint Dempsey,https://en.wikipedia.org/wiki/Clint_Dempsey,Dempsey 40'
FIFA World Cup 2010-group_C-2,FIFA World Cup 2010,FIFA World Cup,2010,Group C,group,2010-06-13,Slovenia,Robert Koren,https://en.wikipedia.org/wiki/Robert_Koren,Koren 79'
FIFA World Cup 2010-group_C-3,FIFA World Cup 2010,FIFA World Cup,2010,Group C,group,2010-06-18,Slovenia,Valter Birsa,https://en.wikipedia.org/wiki/Valter_Birsa,Birsa 13'
FIFA World Cup 2010-group_C-3,FIFA World Cup 2010,FIFA World Cup,2010,Group C,group,2010-06-18,Slovenia,Zlatan Ljubijankić,https://en.wikipedia.org/wiki/Zlatan_Ljubijanki%C4%87,Ljubijankić 42'
FIFA World Cup 2010-group_C-3,FIFA World Cup 2010,FIFA World Cup,2010,Group C,group,2010-06-18,United States,Landon Donovan,https://en.wikipedia.org/wiki/Landon_Donovan,Donovan 48'
FIFA World Cup 2010-group_C-3,FIFA World Cup 2010,FIFA World Cup,2010,Group C,group,2010-06-18,United States,Michael Bradley,https://en.wikipedia.org/wiki/Michael_Bradley_(soccer),Bradley 82'
FIFA World Cup 2010-group_C-5,FIFA World Cup 2010,FIFA World Cup,2010,Group C,group,2010-06-23,England,Jermain Defoe,https://en.wikipedia.org/wiki/Jermain_Defoe,Defoe 23'
FIFA World Cup 2010-group_C-6,FIFA World Cup 2010,FIFA World Cup,2010,Group C,group,2010-06-23,United States,Landon Donovan,https://en.wikipedia.org/wiki/Landon_Donovan,Donovan 90+1'
FIFA World Cup 2010-group_D-1,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-13,Ghana,Asamoah Gyan,https://en.wikipedia.org/wiki/Asamoah_Gyan,Gyan 85' ( pen. )
FIFA World Cup 2010-group_D-2,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-13,Germany,Lukas Podolski,https://en.wikipedia.org/wiki/Lukas_Podolski,Podolski 8'
FIFA World Cup 2010-group_D-2,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-13,Germany,Miroslav Klose,https://en.wikipedia.org/wiki/Miroslav_Klose,Klose 26'
FIFA World Cup 2010-group_D-2,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-13,Germany,Thomas Müller,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,Müller 68'
FIFA World Cup 2010-group_D-2,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-13,Germany,Cacau,https://en.wikipedia.org/wiki/Cacau,Cacau 70'
FIFA World Cup 2010-group_D-3,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-18,Serbia,Milan Jovanović,"https://en.wikipedia.org/wiki/Milan_Jovanovi%C4%87_(footballer,_born_1981)",Jovanović 38'
FIFA World Cup 2010-group_D-4,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-19,Ghana,Asamoah Gyan,https://en.wikipedia.org/wiki/Asamoah_Gyan,Gyan 25' ( pen. )
FIFA World Cup 2010-group_D-4,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-19,Australia,Brett Holman,https://en.wikipedia.org/wiki/Brett_Holman,Holman 11'
FIFA World Cup 2010-group_D-5,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-23,Germany,Mesut Özil,https://en.wikipedia.org/wiki/Mesut_%C3%96zil,Özil 60'
FIFA World Cup 2010-group_D-6,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-23,Australia,Tim Cahill,https://en.wikipedia.org/wiki/Tim_Cahill,Cahill 69'
FIFA World Cup 2010-group_D-6,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-23,Australia,Brett Holman,https://en.wikipedia.org/wiki/Brett_Holman,Holman 73'
FIFA World Cup 2010-group_D-6,FIFA World Cup 2010,FIFA World Cup,2010,Group D,group,2010-06-23,Serbia,Marko Pantelić,https://en.wikipedia.org/wiki/Marko_Panteli%C4%87,Pantelić 84'
FIFA World Cup 2010-group_E-1,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-14,Netherlands,Dirk Kuyt,https://en.wikipedia.org/wiki/Dirk_Kuyt,Kuyt 85'
FIFA World Cup 2010-group_E-2,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-14,Japan,Keisuke Honda,https://en.wikipedia.org/wiki/Keisuke_Honda,Honda 39'
FIFA World Cup 2010-group_E-3,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-19,Netherlands,Wesley Sneijder,https://en.wikipedia.org/wiki/Wesley_Sneijder,Sneijder 53'
FIFA World Cup 2010-group_E-4,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-19,Cameroon,Samuel Eto'o,https://en.wikipedia.org/wiki/Samuel_Eto%27o,Eto'o 10'
FIFA World Cup 2010-group_E-4,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-19,Denmark,Nicklas Bendtner,https://en.wikipedia.org/wiki/Nicklas_Bendtner,Bendtner 33'
FIFA World Cup 2010-group_E-4,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-19,Denmark,Dennis Rommedahl,https://en.wikipedia.org/wiki/Dennis_Rommedahl,Rommedahl 61'
FIFA World Cup 2010-group_E-5,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-24,Denmark,Jon Dahl Tomasson,https://en.wikipedia.org/wiki/Jon_Dahl_Tomasson,Tomasson 81'
FIFA World Cup 2010-group_E-5,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-24,Japan,Keisuke Honda,https://en.wikipedia.org/wiki/Keisuke_Honda,Honda 17'
FIFA World Cup 2010-group_E-5,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-24,Japan,Yasuhito Endō,https://en.wikipedia.org/wiki/Yasuhito_End%C5%8D,Endō 30'
FIFA World Cup 2010-group_E-5,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-24,Japan,Shinji Okazaki,https://en.wikipedia.org/wiki/Shinji_Okazaki,Okazaki 87'
FIFA World Cup 2010-group_E-6,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-24,Cameroon,Samuel Eto'o,https://en.wikipedia.org/wiki/Samuel_Eto%27o,Eto'o 65' ( pen. )
FIFA World Cup 2010-group_E-6,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-24,Netherlands,Robin van Persie,https://en.wikipedia.org/wiki/Robin_van_Persie,Van Persie 36'
FIFA World Cup 2010-group_E-6,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-24,Netherlands,Klaas-Jan Huntelaar,https://en.wikipedia.org/wiki/Klaas-Jan_Huntelaar,Huntelaar 83'
FIFA World Cup 2010-group_F-1,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-14,Italy,Daniele De Rossi,https://en.wikipedia.org/wiki/Daniele_De_Rossi,De Rossi 63'
FIFA World Cup 2010-group_F-1,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-14,Paraguay,Antolín Alcaraz,https://en.wikipedia.org/wiki/Antol%C3%ADn_Alcaraz,Alcaraz 39'
FIFA World Cup 2010-group_F-2,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-15,New Zealand,Winston Reid,https://en.wikipedia.org/wiki/Winston_Reid_(footballer),Reid 90+3'
FIFA World Cup 2010-group_F-2,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-15,Slovakia,Róbert Vittek,https://en.wikipedia.org/wiki/R%C3%B3bert_Vittek,Vittek 50'
FIFA World Cup 2010-group_F-3,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-20,Paraguay,Enrique Vera,https://en.wikipedia.org/wiki/Enrique_Vera,Vera 27'
FIFA World Cup 2010-group_F-3,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-20,Paraguay,Cristian Riveros,https://en.wikipedia.org/wiki/Cristian_Riveros,Riveros 86'
FIFA World Cup 2010-group_F-4,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-20,Italy,Vincenzo Iaquinta,https://en.wikipedia.org/wiki/Vincenzo_Iaquinta,Iaquinta 29' ( pen. )
FIFA World Cup 2010-group_F-4,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-20,New Zealand,Shane Smeltz,https://en.wikipedia.org/wiki/Shane_Smeltz,Smeltz 7'
FIFA World Cup 2010-group_F-5,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-24,Slovakia,Róbert Vittek,https://en.wikipedia.org/wiki/R%C3%B3bert_Vittek,"Vittek 25' , 73'"
FIFA World Cup 2010-group_F-5,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-24,Slovakia,Kamil Kopúnek,https://en.wikipedia.org/wiki/Kamil_Kop%C3%BAnek,Kopúnek 89'
FIFA World Cup 2010-group_F-5,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-24,Italy,Antonio Di Natale,https://en.wikipedia.org/wiki/Antonio_Di_Natale,Di Natale 81'
FIFA World Cup 2010-group_F-5,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-24,Italy,Fabio Quagliarella,https://en.wikipedia.org/wiki/Fabio_Quagliarella,Quagliarella 90+2'
FIFA World Cup 2010-group_G-2,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-15,Brazil,Maicon Sisenando,https://en.wikipedia.org/wiki/Maicon_Sisenando,Maicon 55'
FIFA World Cup 2010-group_G-2,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-15,Brazil,Elano,https://en.wikipedia.org/wiki/Elano,Elano 72'
FIFA World Cup 2010-group_G-2,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-15,North Korea,Ji Yun-nam,https://en.wikipedia.org/wiki/Ji_Yun-nam,Ji Yun-nam 89'
