match_key,tournament,competition,year,round,stage_type,date,home_team,away_team,home_score,away_score
FIFA World Cup 2014-group_C-6,FIFA World Cup 2014,FIFA World Cup,2014,Group C,group,2014-06-24,Greece,Ivory Coast,2.0,1.0
FIFA World Cup 2014-group_D-1,FIFA World Cup 2014,FIFA World Cup,2014,Group D,group,2014-06-14,Uruguay,Costa Rica,1.0,3.0
FIFA World Cup 2014-group_D-2,FIFA World Cup 2014,FIFA World Cup,2014,Group D,group,2014-06-14,England,Italy,1.0,2.0
FIFA World Cup 2014-group_D-3,FIFA World Cup 2014,FIFA World Cup,2014,Group D,group,2014-06-19,Uruguay,England,2.0,1.0
FIFA World Cup 2014-group_D-4,FIFA World Cup 2014,FIFA World Cup,2014,Group D,group,2014-06-20,Italy,Costa Rica,0.0,1.0
FIFA World Cup 2014-group_D-5,FIFA World Cup 2014,FIFA World Cup,2014,Group D,group,2014-06-24,Italy,Uruguay,0.0,1.0
FIFA World Cup 2014-group_D-6,FIFA World Cup 2014,FIFA World Cup,2014,Group D,group,2014-06-24,Costa Rica,England,0.0,0.0
FIFA World Cup 2014-group_E-1,FIFA World Cup 2014,FIFA World Cup,2014,Group E,group,2014-06-15,Switzerland,Ecuador,2.0,1.0
FIFA World Cup 2014-group_E-2,FIFA World Cup 2014,FIFA World Cup,2014,Group E,group,2014-06-15,France,Honduras,3.0,0.0
FIFA World Cup 2014-group_E-3,FIFA World Cup 2014,FIFA World Cup,2014,Group E,group,2014-06-20,Switzerland,France,2.0,5.0
FIFA World Cup 2014-group_E-4,FIFA World Cup 2014,FIFA World Cup,2014,Group E,group,2014-06-20,Honduras,Ecuador,1.0,2.0
FIFA World Cup 2014-group_E-5,FIFA World Cup 2014,FIFA World Cup,2014,Group E,group,2014-06-25,Honduras,Switzerland,0.0,3.0
FIFA World Cup 2014-group_E-6,FIFA World Cup 2014,FIFA World Cup,2014,Group E,group,2014-06-25,Ecuador,France,0.0,0.0
FIFA World Cup 2014-group_F-1,FIFA World Cup 2014,FIFA World Cup,2014,Group F,group,2014-06-15,Argentina,Bosnia and Herzegovina,2.0,1.0
FIFA World Cup 2014-group_F-2,FIFA World Cup 2014,FIFA World Cup,2014,Group F,group,2014-06-16,Iran,Nigeria,0.0,0.0
FIFA World Cup 2014-group_F-3,FIFA World Cup 2014,FIFA World Cup,2014,Group F,group,2014-06-21,Argentina,Iran,1.0,0.0
FIFA World Cup 2014-group_F-4,FIFA World Cup 2014,FIFA World Cup,2014,Group F,group,2014-06-21,Nigeria,Bosnia and Herzegovina,1.0,0.0
FIFA World Cup 2014-group_F-5,FIFA World Cup 2014,FIFA World Cup,2014,Group F,group,2014-06-25,Nigeria,Argentina,2.0,3.0
FIFA World Cup 2014-group_F-6,FIFA World Cup 2014,FIFA World Cup,2014,Group F,group,2014-06-25,Bosnia and Herzegovina,Iran,3.0,1.0
FIFA World Cup 2014-group_G-1,FIFA World Cup 2014,FIFA World Cup,2014,Group G,group,2014-06-16,Germany,Portugal,4.0,0.0
FIFA World Cup 2014-group_G-2,FIFA World Cup 2014,FIFA World Cup,2014,Group G,group,2014-06-16,Ghana,United States,1.0,2.0
FIFA World Cup 2014-group_G-3,FIFA World Cup 2014,FIFA World Cup,2014,Group G,group,2014-06-21,Germany,Ghana,2.0,2.0
FIFA World Cup 2014-group_G-4,FIFA World Cup 2014,FIFA World Cup,2014,Group G,group,2014-06-22,United States,Portugal,2.0,2.0
FIFA World Cup 2014-group_G-5,FIFA World Cup 2014,FIFA World Cup,2014,Group G,group,2014-06-26,United States,Germany,0.0,1.0
FIFA World Cup 2014-group_G-6,FIFA World Cup 2014,FIFA World Cup,2014,Group G,group,2014-06-26,Portugal,Ghana,2.0,1.0
FIFA World Cup 2014-group_H-1,FIFA World Cup 2014,FIFA World Cup,2014,Group H,group,2014-06-17,Belgium,Algeria,2.0,1.0
FIFA World Cup 2014-group_H-2,FIFA World Cup 2014,FIFA World Cup,2014,Group H,group,2014-06-17,Russia,South Korea,1.0,1.0
FIFA World Cup 2014-group_H-3,FIFA World Cup 2014,FIFA World Cup,2014,Group H,group,2014-06-22,Belgium,Russia,1.0,0.0
