player,player_url,team,scorito_position,raw_position,group_goals,group_goal_matches,team_completed_group_goals,player_goal_share_uncapped,position_share_cap,player_goal_share,carryover_boost,projected_knockout_matches,path_team_xg,path_adjusted_team_xg,avg_path_ease_xg,avg_path_elo_diff,avg_opponent_goals_against_per_match,avg_opponent_clean_sheet_rate,avg_opponent_defense_factor,path_ease_score,projected_opponent_path,projected_last_round,expected_scorito_points,expected_knockout_goals,top5_scorito_probability,top5_raw_goal_probability,recommended_rank,selection_reason
Connor Metcalfe,https://en.wikipedia.org/wiki/Connor_Metcalfe,Australia,Middenvelder,Central midfielder,1,1,2.0,0.335,0.38,0.335,0.7891661533851608,2,2.223,2.13915,1.069575,-144.555,0.6666666666666666,0.3333333333333333,0.9586666666666666,0.7673258333333332,Egypt -> Argentina,Round of 16,27.145368014382974,0.5655285002996453,0.01335,0.00565,31,"1 group goals, Middenvelder, 2 projected knockout matches, 2.1 adjusted team xG path"
Lautaro Martínez,https://en.wikipedia.org/wiki/Lautaro_Mart%C3%ADnez,Argentina,Aanvaller,Forward,1,1,8.0,0.156,0.62,0.156,0.7891661533851608,5,9.07,8.619894666666667,1.7239789333333335,172.028,0.6,0.5333333333333333,0.9494666666666667,1.8799375999999999,Cape Verde -> Australia -> Switzerland -> Brazil -> Portugal,Match for third place,34.270778128345455,1.061194542201861,0.01205,0.02625,32,"1 group goals, Aanvaller, 5 projected knockout matches, 8.6 adjusted team xG path"
Rafael Leão,https://en.wikipedia.org/wiki/Rafael_Le%C3%A3o,Portugal,Aanvaller,Left winger forward,1,1,6.0,0.195,0.62,0.195,0.7891661533851608,5,6.721,6.475380666666666,1.2950761333333334,-22.006,0.8,0.5333333333333333,0.9590666666666667,1.1799838,Croatia -> Spain -> United States -> France -> Argentina,Match for third place,32.79592457053819,0.9964794942215045,0.01175,0.01665,33,"1 group goals, Aanvaller, 5 projected knockout matches, 6.5 adjusted team xG path"
Derrick Luckassen,https://en.wikipedia.org/wiki/Derrick_Luckassen,Ghana,Keeper / Verdediger,Centre-back,1,1,2.0,0.28500000000000003,0.18,0.18,0.7891661533851608,1,1.012,0.9438586666666666,0.9438586666666666,-198.94,0.3333333333333333,0.6666666666666666,0.9326666666666666,0.5100319999999998,Colombia,Round of 32,12.871203494041382,0.1340750363962644,0.01165,5e-05,34,"1 group goals, Keeper / Verdediger, 1 projected knockout matches, 0.9 adjusted team xG path"
Crysencio Summerville,https://en.wikipedia.org/wiki/Crysencio_Summerville,Netherlands,Aanvaller,Winger,2,2,10.0,0.21333333333333335,0.62,0.21333333333333335,1.4304732526990827,3,4.5280000000000005,4.393626666666666,1.464542222222222,53.0,0.8888888888888888,0.3333333333333333,0.9693333333333333,1.4808477777777778,Morocco -> South Africa -> France,Quarterfinals,38.560955662899914,1.474871887341505,0.0114,0.0528,35,"2 group goals, Aanvaller, 3 projected knockout matches, 4.4 adjusted team xG path"
Granit Xhaka,https://en.wikipedia.org/wiki/Granit_Xhaka,Switzerland,Middenvelder,Defensive midfielder,1,1,7.0,0.1488888888888889,0.38,0.1488888888888889,0.7891661533851608,3,3.7880000000000003,3.703577333333333,1.2345257777777776,-61.23,1.0,0.4444444444444444,0.9713333333333333,1.0850418888888889,Algeria -> Colombia -> Argentina,Quarterfinals,22.744667614760754,0.4351631951556584,0.01135,0.00095,36,"1 group goals, Middenvelder, 3 projected knockout matches, 3.7 adjusted team xG path"
Achraf Hakimi,https://en.wikipedia.org/wiki/Achraf_Hakimi,Morocco,Keeper / Verdediger,Right-back,1,1,6.0,0.14250000000000002,0.18,0.14250000000000002,0.7891661533851608,1,1.256,1.2568373333333331,1.2568373333333331,-58.72,1.3333333333333333,0.0,1.0006666666666666,1.1666739999999998,Netherlands,Round of 32,13.568555658076608,0.141339121438298,0.0108,5e-05,37,"1 group goals, Keeper / Verdediger, 1 projected knockout matches, 1.3 adjusted team xG path"
Álex Baena,https://en.wikipedia.org/wiki/%C3%81lex_Baena,Spain,Middenvelder,Left midfielder attacking midfielder,1,1,5.0,0.19142857142857145,0.38,0.19142857142857145,0.7891661533851608,2,3.56,3.5187933333333334,1.7593966666666667,163.51,1.1666666666666667,0.3333333333333333,0.9826666666666666,1.969245,Austria -> Portugal,Round of 16,25.51585977070752,0.53158041188974,0.0087,0.0026,38,"1 group goals, Middenvelder, 2 projected knockout matches, 3.5 adjusted team xG path"
Folarin Balogun,https://en.wikipedia.org/wiki/Folarin_Balogun,United States,Aanvaller,Striker,2,1,8.0,0.256,0.62,0.256,1.4304732526990827,3,3.8739999999999997,3.8043346666666666,1.2681115555555555,-50.43333333333334,1.0,0.3333333333333333,0.9746666666666667,1.140378222222222,Bosnia and Herzegovina -> Belgium -> Portugal,Quarterfinals,36.50406954168617,1.393151740155532,0.0078,0.038,39,"2 group goals, Aanvaller, 3 projected knockout matches, 3.8 adjusted team xG path"
Cody Gakpo,https://en.wikipedia.org/wiki/Cody_Gakpo,Netherlands,Aanvaller,Left winger forward [ 2 ],2,1,10.0,0.21333333333333335,0.62,0.21333333333333335,1.4304732526990827,3,4.5280000000000005,4.393626666666666,1.464542222222222,53.0,0.8888888888888888,0.3333333333333333,0.9693333333333333,1.4808477777777778,Morocco -> South Africa -> France,Quarterfinals,35.055414238999916,1.3407926248559134,0.008,0.0417,40,"2 group goals, Aanvaller, 3 projected knockout matches, 4.4 adjusted team xG path"
Franck Kessié,https://en.wikipedia.org/wiki/Franck_Kessi%C3%A9,Ivory Coast,Middenvelder,Central midfielder,1,1,4.0,0.22333333333333336,0.38,0.22333333333333336,0.7891661533851608,2,2.5,2.5009106666666665,1.2504553333333333,-70.915,1.3333333333333335,0.3333333333333333,0.9906666666666666,1.1253328333333332,Norway -> Brazil,Round of 16,21.157357024289254,0.44077827133935954,0.00795,0.00245,41,"1 group goals, Middenvelder, 2 projected knockout matches, 2.5 adjusted team xG path"
Sebastian Berhalter,https://en.wikipedia.org/wiki/Sebastian_Berhalter,United States,Middenvelder,Midfielder,1,1,8.0,0.134,0.38,0.134,0.7891661533851608,3,3.8739999999999997,3.8043346666666666,1.2681115555555555,-50.43333333333334,1.0,0.3333333333333333,0.9746666666666667,1.140378222222222,Bosnia and Herzegovina -> Belgium -> Portugal,Quarterfinals,21.082631634615836,0.40230178878114226,0.00755,0.0006,42,"1 group goals, Middenvelder, 3 projected knockout matches, 3.8 adjusted team xG path"
Bradley Barcola,https://en.wikipedia.org/wiki/Bradley_Barcola,France,Aanvaller,Forward [ 1 ],1,1,10.0,0.13,0.62,0.13,0.7891661533851608,5,8.433,8.329142,1.6658283999999999,127.774,1.1333333333333333,0.26666666666666666,0.9830666666666665,1.8220727333333333,Sweden -> Germany -> Netherlands -> Portugal -> Brazil,Final,27.54353887189758,0.8545000039080421,0.0067,0.0198,43,"1 group goals, Aanvaller, 5 projected knockout matches, 8.3 adjusted team xG path"
Ousmane Dembélé,https://en.wikipedia.org/wiki/Ousmane_Demb%C3%A9l%C3%A9,France,Aanvaller,Forward right winger,1,1,10.0,0.13,0.62,0.13,0.7891661533851608,5,8.433,8.329142,1.6658283999999999,127.774,1.1333333333333333,0.26666666666666666,0.9830666666666665,1.8220727333333333,Sweden -> Germany -> Netherlands -> Portugal -> Brazil,Final,27.54353887189758,0.8545000039080421,0.00685,0.0161,44,"1 group goals, Aanvaller, 5 projected knockout matches, 8.3 adjusted team xG path"
Nicolas Pépé,https://en.wikipedia.org/wiki/Nicolas_P%C3%A9p%C3%A9,Ivory Coast,Aanvaller,Right winger forward,2,1,4.0,0.4266666666666667,0.62,0.4266666666666667,1.4304732526990827,2,2.5,2.5009106666666665,1.2504553333333333,-70.915,1.3333333333333335,0.3333333333333333,0.9906666666666666,1.1253328333333332,Norway -> Brazil,Round of 16,36.63345475641854,1.5263939481841058,0.0056,0.07405,45,"2 group goals, Aanvaller, 2 projected knockout matches, 2.5 adjusted team xG path"
Leandro Trossard,https://en.wikipedia.org/wiki/Leandro_Trossard,Belgium,Aanvaller,Winger forward,2,1,6.0,0.32,0.62,0.32,1.4304732526990827,2,3.233,3.2529373333333336,1.6264686666666668,104.81,1.6666666666666665,0.3333333333333333,1.0066666666666666,1.798267,Senegal -> United States,Round of 16,35.73688203294424,1.4890367513726763,0.0058,0.07345,46,"2 group goals, Aanvaller, 2 projected knockout matches, 3.3 adjusted team xG path"
Daichi Kamada,https://en.wikipedia.org/wiki/Daichi_Kamada,Japan,Middenvelder,Central midfielder,2,2,7.0,0.26,0.38,0.26,1.4304732526990827,1,1.17,1.0912199999999999,1.0912199999999999,-104.9,0.3333333333333333,0.6666666666666666,0.9326666666666666,0.7984533333333331,Brazil,Round of 32,21.4288729211397,0.44643485252374376,0.00595,0.0011,47,"2 group goals, Middenvelder, 1 projected knockout matches, 1.1 adjusted team xG path"
Kevin De Bruyne,https://en.wikipedia.org/wiki/Kevin_De_Bruyne,Belgium,Middenvelder,Midfielder,1,1,6.0,0.1675,0.38,0.1675,0.7891661533851608,2,3.233,3.2529373333333336,1.6264686666666668,104.81,1.6666666666666665,0.3333333333333333,1.0066666666666666,1.798267,Senegal -> United States,Round of 16,20.63954866209918,0.42999059712706633,0.0063,0.00215,48,"1 group goals, Middenvelder, 2 projected knockout matches, 3.3 adjusted team xG path"
Leo Østigård,https://en.wikipedia.org/wiki/Leo_%C3%98stig%C3%A5rd,Norway,Keeper / Verdediger,Centre-back [ 3 ],1,1,8.0,0.11400000000000002,0.18,0.11400000000000002,0.7891661533851608,1,1.295,1.2285233333333332,1.2285233333333332,-38.76,0.6666666666666666,0.6666666666666666,0.9486666666666667,1.0682999999999998,Ivory Coast,Round of 32,10.610306860551013,0.11052402979740639,0.0056,0.0,49,"1 group goals, Keeper / Verdediger, 1 projected knockout matches, 1.2 adjusted team xG path"
Marcus Holmgren Pedersen,https://en.wikipedia.org/wiki/Marcus_Holmgren_Pedersen,Norway,Keeper / Verdediger,Right-back,1,1,8.0,0.11400000000000002,0.18,0.11400000000000002,0.7891661533851608,1,1.295,1.2285233333333332,1.2285233333333332,-38.76,0.6666666666666666,0.6666666666666666,0.9486666666666667,1.0682999999999998,Ivory Coast,Round of 32,10.610306860551013,0.11052402979740639,0.0058,0.0,50,"1 group goals, Keeper / Verdediger, 1 projected knockout matches, 1.2 adjusted team xG path"
Pape Gueye,https://en.wikipedia.org/wiki/Pape_Gueye,Senegal,Middenvelder,Defensive midfielder,2,1,8.0,0.23399999999999999,0.38,0.23399999999999999,1.4304732526990827,1,1.207,1.1571106666666668,1.1571106666666668,-84.61,0.6666666666666666,0.3333333333333333,0.9586666666666667,0.944779,Belgium,Round of 32,18.591384529180615,0.38732051102459614,0.00455,0.0007,51,"2 group goals, Middenvelder, 1 projected knockout matches, 1.2 adjusted team xG path"
Deniz Undav,https://en.wikipedia.org/wiki/Deniz_Undav,Germany,Aanvaller,Forward,3,2,10.0,0.2966666666666667,0.62,0.2966666666666667,1.65,2,2.622,2.5482519999999997,1.2741259999999999,-44.395,1.0,0.5,0.9696666666666667,1.1471168333333333,Paraguay -> France,Round of 16,32.930550945600004,1.3721062894,0.0044,0.0576,52,"3 group goals, Aanvaller, 2 projected knockout matches, 2.5 adjusted team xG path"
