trial,matches_evaluated,exact_accuracy,toto_accuracy,scorito_points,points_per_match
544,115,0.08695652173913043,0.3826086956521739,5205,45.26086956521739
545,115,0.11304347826086956,0.391304347826087,6195,53.869565217391305
546,115,0.05217391304347826,0.3565217391304348,4875,42.391304347826086
547,115,0.06086956521739131,0.3391304347826087,4980,43.30434782608695
548,115,0.05217391304347826,0.3391304347826087,4635,40.30434782608695
549,115,0.05217391304347826,0.3391304347826087,4680,40.69565217391305
550,115,0.11304347826086956,0.4434782608695652,6810,59.21739130434783
551,115,0.0782608695652174,0.40869565217391307,5850,50.869565217391305
552,115,0.0782608695652174,0.391304347826087,5760,50.08695652173913
553,115,0.034782608695652174,0.33043478260869563,4665,40.56521739130435
554,115,0.0782608695652174,0.3391304347826087,5100,44.34782608695652
555,115,0.13043478260869565,0.34782608695652173,5880,51.130434782608695
556,115,0.06956521739130435,0.3217391304347826,4275,37.17391304347826
557,115,0.034782608695652174,0.3652173913043478,4830,42.0
558,115,0.11304347826086956,0.3652173913043478,5715,49.69565217391305
559,115,0.11304347826086956,0.4260869565217391,6240,54.26086956521739
560,115,0.08695652173913043,0.40869565217391307,5880,51.130434782608695
561,115,0.1391304347826087,0.43478260869565216,6525,56.73913043478261
562,115,0.06086956521739131,0.30434782608695654,4410,38.34782608695652
563,115,0.08695652173913043,0.3739130434782609,5655,49.17391304347826
564,115,0.09565217391304348,0.3739130434782609,5805,50.47826086956522
565,115,0.043478260869565216,0.33043478260869563,4335,37.69565217391305
566,115,0.11304347826086956,0.41739130434782606,6225,54.130434782608695
567,115,0.06956521739130435,0.3652173913043478,4890,42.52173913043478
568,115,0.08695652173913043,0.4608695652173913,6660,57.91304347826087
569,115,0.06956521739130435,0.3739130434782609,5430,47.21739130434783
570,115,0.043478260869565216,0.3391304347826087,4635,40.30434782608695
571,115,0.06956521739130435,0.4,5925,51.52173913043478
572,115,0.08695652173913043,0.2956521739130435,4680,40.69565217391305
573,115,0.043478260869565216,0.3826086956521739,5310,46.17391304347826
574,115,0.0782608695652174,0.3217391304347826,4575,39.78260869565217
575,115,0.0782608695652174,0.33043478260869563,4785,41.608695652173914
576,115,0.043478260869565216,0.3217391304347826,4545,39.52173913043478
577,115,0.06086956521739131,0.26956521739130435,3870,33.65217391304348
578,115,0.08695652173913043,0.34782608695652173,4935,42.91304347826087
579,115,0.08695652173913043,0.28695652173913044,4725,41.08695652173913
580,115,0.0782608695652174,0.391304347826087,5700,49.56521739130435
581,115,0.13043478260869565,0.3652173913043478,5565,48.391304347826086
582,115,0.06086956521739131,0.40869565217391307,5640,49.04347826086956
583,115,0.0782608695652174,0.391304347826087,5400,46.95652173913044
584,115,0.09565217391304348,0.40869565217391307,6060,52.69565217391305
585,115,0.08695652173913043,0.3652173913043478,5160,44.869565217391305
586,115,0.08695652173913043,0.3565217391304348,5325,46.30434782608695
587,115,0.11304347826086956,0.391304347826087,6195,53.869565217391305
588,115,0.017391304347826087,0.3565217391304348,4680,40.69565217391305
589,115,0.06956521739130435,0.41739130434782606,5610,48.78260869565217
590,115,0.0782608695652174,0.41739130434782606,6180,53.73913043478261
591,115,0.08695652173913043,0.33043478260869563,4665,40.56521739130435
592,115,0.05217391304347826,0.41739130434782606,5700,49.56521739130435
593,115,0.11304347826086956,0.3826086956521739,5625,48.91304347826087
594,115,0.06956521739130435,0.3739130434782609,5685,49.43478260869565
595,115,0.06086956521739131,0.4260869565217391,5850,50.869565217391305
596,115,0.09565217391304348,0.3565217391304348,5250,45.65217391304348
597,115,0.06086956521739131,0.4260869565217391,6345,55.17391304347826
598,115,0.06956521739130435,0.3391304347826087,4845,42.130434782608695
599,115,0.06956521739130435,0.33043478260869563,4560,39.65217391304348
600,115,0.12173913043478261,0.3565217391304348,5430,47.21739130434783
601,115,0.08695652173913043,0.3130434782608696,4725,41.08695652173913
602,115,0.06956521739130435,0.3739130434782609,5385,46.82608695652174
603,115,0.034782608695652174,0.40869565217391307,5640,49.04347826086956
604,115,0.06956521739130435,0.3652173913043478,5295,46.04347826086956
605,115,0.05217391304347826,0.3391304347826087,4620,40.17391304347826
606,115,0.02608695652173913,0.3130434782608696,4230,36.78260869565217
607,115,0.09565217391304348,0.3130434782608696,4875,42.391304347826086
608,115,0.02608695652173913,0.2782608695652174,3825,33.26086956521739
609,115,0.08695652173913043,0.2956521739130435,4545,39.52173913043478
610,115,0.043478260869565216,0.26956521739130435,3885,33.78260869565217
611,115,0.0782608695652174,0.3565217391304348,5070,44.08695652173913
612,115,0.09565217391304348,0.41739130434782606,6240,54.26086956521739
613,115,0.08695652173913043,0.40869565217391307,5895,51.26086956521739
614,115,0.06956521739130435,0.391304347826087,5505,47.869565217391305
615,115,0.043478260869565216,0.33043478260869563,4800,41.73913043478261
616,115,0.10434782608695652,0.33043478260869563,5205,45.26086956521739
617,115,0.09565217391304348,0.4,5820,50.608695652173914
618,115,0.08695652173913043,0.33043478260869563,5085,44.21739130434783
619,115,0.09565217391304348,0.41739130434782606,6015,52.30434782608695
620,115,0.08695652173913043,0.34782608695652173,5205,45.26086956521739
621,115,0.0782608695652174,0.3826086956521739,5925,51.52173913043478
622,115,0.06956521739130435,0.41739130434782606,6090,52.95652173913044
623,115,0.08695652173913043,0.4,5910,51.391304347826086
624,115,0.10434782608695652,0.4608695652173913,6735,58.56521739130435
625,115,0.0782608695652174,0.3391304347826087,5070,44.08695652173913
626,115,0.043478260869565216,0.3652173913043478,4770,41.47826086956522
627,115,0.09565217391304348,0.33043478260869563,5175,45.0
628,115,0.06086956521739131,0.3652173913043478,5010,43.56521739130435
629,115,0.0782608695652174,0.33043478260869563,4740,41.21739130434783
630,115,0.06086956521739131,0.391304347826087,5190,45.130434782608695
631,115,0.09565217391304348,0.391304347826087,5940,51.65217391304348
632,115,0.0782608695652174,0.391304347826087,5595,48.65217391304348
633,115,0.05217391304347826,0.2956521739130435,4230,36.78260869565217
634,115,0.08695652173913043,0.3826086956521739,5970,51.91304347826087
635,115,0.06086956521739131,0.3826086956521739,5610,48.78260869565217
636,115,0.08695652173913043,0.41739130434782606,6060,52.69565217391305
637,115,0.06086956521739131,0.3130434782608696,4515,39.26086956521739
638,115,0.08695652173913043,0.3739130434782609,5400,46.95652173913044
639,115,0.08695652173913043,0.3652173913043478,5535,48.130434782608695
640,115,0.02608695652173913,0.3652173913043478,4845,42.130434782608695
641,115,0.06956521739130435,0.40869565217391307,5625,48.91304347826087
642,115,0.08695652173913043,0.2782608695652174,3855,33.52173913043478
643,115,0.09565217391304348,0.3391304347826087,5370,46.69565217391305
644,115,0.0782608695652174,0.3565217391304348,5325,46.30434782608695
645,115,0.09565217391304348,0.3391304347826087,4890,42.52173913043478
646,115,0.11304347826086956,0.40869565217391307,6075,52.82608695652174
647,115,0.05217391304347826,0.3652173913043478,5295,46.04347826086956
648,115,0.05217391304347826,0.391304347826087,5805,50.47826086956522
649,115,0.06956521739130435,0.43478260869565216,6255,54.391304347826086
650,115,0.034782608695652174,0.33043478260869563,4620,40.17391304347826
651,115,0.05217391304347826,0.3565217391304348,4875,42.391304347826086
652,115,0.06956521739130435,0.40869565217391307,5895,51.26086956521739
653,115,0.08695652173913043,0.4260869565217391,6360,55.30434782608695
654,115,0.0782608695652174,0.3739130434782609,5715,49.69565217391305
655,115,0.08695652173913043,0.33043478260869563,5070,44.08695652173913
656,115,0.0782608695652174,0.41739130434782606,6420,55.82608695652174
657,115,0.11304347826086956,0.4,6105,53.08695652173913
658,115,0.0782608695652174,0.3739130434782609,5520,48.0
659,115,0.0782608695652174,0.3391304347826087,5325,46.30434782608695
660,115,0.09565217391304348,0.3826086956521739,5955,51.78260869565217
661,115,0.06956521739130435,0.3652173913043478,5265,45.78260869565217
662,115,0.06956521739130435,0.3826086956521739,5520,48.0
663,115,0.043478260869565216,0.3130434782608696,4515,39.26086956521739
664,115,0.08695652173913043,0.3391304347826087,4935,42.91304347826087
665,115,0.08695652173913043,0.391304347826087,5760,50.08695652173913
666,115,0.0782608695652174,0.41739130434782606,5970,51.91304347826087
667,115,0.10434782608695652,0.34782608695652173,5340,46.43478260869565
668,115,0.09565217391304348,0.41739130434782606,6105,53.08695652173913
669,115,0.13043478260869565,0.4,6285,54.65217391304348
670,115,0.08695652173913043,0.40869565217391307,6405,55.69565217391305
671,115,0.08695652173913043,0.4260869565217391,6525,56.73913043478261
672,115,0.11304347826086956,0.40869565217391307,6045,52.56521739130435
673,115,0.06086956521739131,0.33043478260869563,4860,42.26086956521739
674,115,0.06956521739130435,0.4434782608695652,6450,56.08695652173913
675,115,0.06956521739130435,0.3565217391304348,5265,45.78260869565217
676,115,0.06086956521739131,0.3826086956521739,5220,45.391304347826086
677,115,0.10434782608695652,0.4608695652173913,6765,58.82608695652174
678,115,0.034782608695652174,0.34782608695652173,5085,44.21739130434783
679,115,0.034782608695652174,0.4,5625,48.91304347826087
680,115,0.043478260869565216,0.3130434782608696,4650,40.43478260869565
681,115,0.06956521739130435,0.4434782608695652,6285,54.65217391304348
682,115,0.09565217391304348,0.33043478260869563,5085,44.21739130434783
683,115,0.12173913043478261,0.4,6510,56.608695652173914
684,115,0.09565217391304348,0.391304347826087,5715,49.69565217391305
685,115,0.09565217391304348,0.3565217391304348,5610,48.78260869565217
686,115,0.043478260869565216,0.4434782608695652,6210,54.0
687,115,0.06086956521739131,0.2956521739130435,4155,36.130434782608695
688,115,0.09565217391304348,0.34782608695652173,5310,46.17391304347826
689,115,0.0782608695652174,0.3565217391304348,5070,44.08695652173913
690,115,0.09565217391304348,0.4260869565217391,6465,56.21739130434783
691,115,0.06956521739130435,0.34782608695652173,5100,44.34782608695652
692,115,0.043478260869565216,0.2782608695652174,3600,31.304347826086957
693,115,0.0782608695652174,0.3826086956521739,5430,47.21739130434783
694,115,0.11304347826086956,0.3826086956521739,5820,50.608695652173914
695,115,0.043478260869565216,0.3565217391304348,5160,44.869565217391305
696,115,0.06086956521739131,0.3217391304347826,4545,39.52173913043478
697,115,0.08695652173913043,0.4,5835,50.73913043478261
698,115,0.043478260869565216,0.3652173913043478,5145,44.73913043478261
699,115,0.0782608695652174,0.40869565217391307,5805,50.47826086956522
700,115,0.0782608695652174,0.41739130434782606,6210,54.0
701,115,0.043478260869565216,0.2782608695652174,3825,33.26086956521739
702,115,0.05217391304347826,0.3217391304347826,4560,39.65217391304348
703,115,0.05217391304347826,0.34782608695652173,5025,43.69565217391305
704,115,0.08695652173913043,0.3826086956521739,5655,49.17391304347826
705,115,0.043478260869565216,0.3565217391304348,4545,39.52173913043478
706,115,0.0782608695652174,0.30434782608695654,4440,38.608695652173914
707,115,0.09565217391304348,0.3652173913043478,5625,48.91304347826087
708,115,0.08695652173913043,0.3826086956521739,5505,47.869565217391305
709,115,0.06956521739130435,0.3826086956521739,5580,48.52173913043478
710,115,0.06956521739130435,0.3739130434782609,5505,47.869565217391305
711,115,0.11304347826086956,0.391304347826087,6120,53.21739130434783
712,115,0.0782608695652174,0.3130434782608696,4860,42.26086956521739
713,115,0.06086956521739131,0.43478260869565216,6315,54.91304347826087
714,115,0.08695652173913043,0.43478260869565216,6420,55.82608695652174
715,115,0.06956521739130435,0.3391304347826087,5010,43.56521739130435
716,115,0.06086956521739131,0.40869565217391307,5955,51.78260869565217
717,115,0.06956521739130435,0.3652173913043478,5325,46.30434782608695
718,115,0.08695652173913043,0.40869565217391307,6255,54.391304347826086
719,115,0.034782608695652174,0.33043478260869563,4560,39.65217391304348
720,115,0.0782608695652174,0.45217391304347826,6270,54.52173913043478
721,115,0.05217391304347826,0.3565217391304348,5130,44.608695652173914
722,115,0.0782608695652174,0.391304347826087,5760,50.08695652173913
723,115,0.0782608695652174,0.3652173913043478,5595,48.65217391304348
