tournament,round,date,home_team,away_team,predicted_score,actual_score,predicted_outcome,actual_outcome,exact_correct,toto_correct,scorito_match_points,max_exact_points,home_xg,away_xg,model_home_score,model_away_score,actual_home_score,actual_away_score,model_predicted_score,model_predicted_outcome,model_exact_correct,model_toto_correct,model_scorito_points,odds_source,odds_event_id,odds_date,odds_home_team,odds_away_team,odds_swapped,home_odds,draw_odds,away_odds,bookmakers_count,odds_date_diff_days,has_market_odds,market_home_implied,market_draw_implied,market_away_implied,market_overround,market_home_score,market_away_score,market_favorite_outcome,market_predicted_score,market_predicted_outcome,market_exact_correct,market_toto_correct,market_scorito_points,common_home_score,common_away_score,common_predicted_score,common_predicted_outcome,common_exact_correct,common_toto_correct,common_scorito_points
FIFA World Cup 2018,Quarter-finals,2018-07-06,Brazil,Belgium,1-1,1-2,draw,away_win,False,False,0,180,1.188,1.888,1,1,1,2,1-1,draw,False,False,0,oddsportal,3293858.0,2018-07-06,Brazil,Belgium,False,2.05,3.43,3.82,,0.0,True,0.46853399415700286,0.2800276058372757,0.25143840000572143,1.0411301722651956,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2018,Quarter-finals,2018-07-07,Sweden,England,1-1,0-2,draw,away_win,False,False,0,180,1.321,1.804,1,1,0,2,1-1,draw,False,False,0,oddsportal,3295155.0,2018-07-07,Sweden,England,False,5.26,3.32,1.79,,0.0,True,0.18106479309231174,0.28686771435709635,0.532067492550592,1.049978105595268,0,1,away_win,0-1,away_win,False,True,120,1,0,1-0,home_win,False,False,0
FIFA World Cup 2018,Quarter-finals,2018-07-07,Russia,Croatia,1-1,2-2,draw,draw,False,True,120,180,1.571,1.854,1,1,2,2,1-1,draw,False,True,120,oddsportal,3292612.0,2018-07-07,Russia,Croatia,False,3.96,3.14,2.12,,0.0,True,0.24218522614820423,0.3054310495372257,0.45238372431457013,1.0426947033124174,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2018,Semi-finals,2018-07-10,France,Belgium,0-1,1-0,away_win,home_win,False,False,0,225,0.821,1.954,0,1,1,0,0-1,away_win,False,False,0,oddsportal,3304133.0,2018-07-10,France,Belgium,False,2.57,3.1,3.02,,0.0,True,0.37313075917482386,0.3093374358320314,0.3175318049931448,1.0428115313416186,1,0,home_win,1-0,home_win,True,True,225,1,0,1-0,home_win,True,True,225
FIFA World Cup 2018,Semi-finals,2018-07-11,Croatia,England,1-1,2-1,draw,home_win,False,False,0,225,1.721,1.604,1,1,2,1,1-1,draw,False,False,0,oddsportal,3304709.0,2018-07-11,Croatia,England,False,4.01,2.95,2.21,,0.0,True,0.23958972625141947,0.32567959398921764,0.4347306797593629,1.0408482972337543,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,False,True,150
FIFA World Cup 2018,Final,2018-07-15,France,Croatia,0-1,4-2,away_win,home_win,False,False,0,270,0.754,1.621,0,1,4,2,0-1,away_win,False,False,0,oddsportal,3315246.0,2018-07-15,France,Croatia,False,2.05,2.98,4.63,,0.0,True,0.46933284350242704,0.32286319771140115,0.20780395878617178,1.0393580692297277,1,0,home_win,1-0,home_win,False,True,180,1,0,1-0,home_win,False,True,180
FIFA World Cup 2022,Round of 16,2022-12-03,Netherlands,United States,1-0,3-1,home_win,home_win,False,True,90,135,1.282,0.632,1,0,3,1,1-0,home_win,False,True,90,oddsportal,6377884.0,2022-12-03,Netherlands,United States,False,1.92,3.39,4.48,,0.0,True,0.5012674271229404,0.2839036755386565,0.214828897338403,1.0390328697850824,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2022,Round of 16,2022-12-03,Argentina,Australia,1-0,2-1,home_win,home_win,False,True,90,135,1.615,0.849,1,0,2,1,1-0,home_win,False,True,90,oddsportal,6379570.0,2022-12-03,Argentina,Australia,False,1.29,6.19,9.79,,0.0,True,0.7461752425373364,0.15550340272587465,0.09832135473678898,1.03888973294477,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2022,Round of 16,2022-12-04,France,Poland,1-0,3-1,home_win,home_win,False,True,90,135,1.532,0.832,1,0,3,1,1-0,home_win,False,True,90,oddsportal,6379571.0,2022-12-04,France,Poland,False,1.39,4.91,8.88,,0.0,True,0.6946242486326828,0.19664515388990406,0.10873059747741316,1.035703060824308,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2022,Round of 16,2022-12-04,England,Senegal,2-1,3-0,home_win,home_win,False,True,90,135,2.282,1.082,2,1,3,0,2-1,home_win,False,True,90,oddsportal,6377881.0,2022-12-04,England,Senegal,False,1.62,3.73,6.68,,0.0,True,0.5963629052718247,0.2590101626113555,0.1446269321168198,1.0350810641649875,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2022,Round of 16,2022-12-05,Japan,Croatia,0-1,1-1,away_win,draw,False,False,0,135,0.965,1.299,0,1,1,1,0-1,away_win,False,False,0,oddsportal,6381883.0,2022-12-05,Japan,Croatia,False,3.86,3.28,2.1,,0.0,True,0.24907068573990776,0.2931136728524524,0.4578156414076399,1.0401358824839173,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2022,Round of 16,2022-12-05,Brazil,South Korea,1-0,4-1,home_win,home_win,False,True,90,135,1.249,0.965,1,0,4,1,1-0,home_win,False,True,90,oddsportal,6386054.0,2022-12-05,Brazil,South Korea,False,1.23,6.64,13.64,,0.0,True,0.7840573436985993,0.14523953806465018,0.07070311823675052,1.0369243227110574,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2022,Round of 16,2022-12-06,Morocco,Spain,1-1,0-0,draw,draw,False,True,90,135,1.132,1.882,1,1,0,0,1-1,draw,False,True,90,oddsportal,6381884.0,2022-12-06,Morocco,Spain,False,6.11,3.84,1.63,,0.0,True,0.15773835774894218,0.25098473068907207,0.5912769115619857,1.0375797202949337,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,False,False,0
